,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter,change,interest_year,vacancy_year,adj_price_year,adj_value_year
2009-01-24,5.12,10.1,211.933,150000.0,184513.6621742147,70777.08521089212,87062.26126852105,70518.87790361479,0,0.8524524657853552,1.0077828776691278,0.8819696711549395,0.9633423204843771
2009-01-31,5.1,10.1,211.933,155000.0,184513.6621742147,73136.32138458853,87062.26126852105,74750.0105778317,1,0.8516420549425363,1.0076291079812207,0.9129552572057825,0.9640352478403986
2009-02-07,5.25,10.1,212.705,148725.0,183014.9504394352,69920.78230413013,86041.67764718045,70415.26227338023,1,0.8787742226228032,1.0074812967581048,0.874955931066063,0.9536011657239476
2009-02-14,5.16,10.1,212.705,147896.0,183014.9504394352,69531.04064314425,86041.67764718045,72762.43768249289,1,0.8651576707293481,1.0074812967581048,0.8727985036703055,0.9555773023029362
2009-02-21,5.04,10.1,212.705,150000.0,183014.9504394352,70520.20403845701,86041.67764718045,72762.43768249289,1,0.8467577784239605,1.0074812967581048,0.8872303896671065,0.9575143212169863
2009-02-28,5.07,10.1,212.705,155000.0,183014.9504394352,72870.87750640558,86041.67764718045,77456.78850071825,1,0.8535906235835007,1.0074812967581048,0.9185289244481318,0.959459209014805
2009-03-07,5.15,10.1,212.495,150000.0,181640.46837729737,70589.89623285254,85479.87876293436,74491.36365752596,1,0.8695652173913045,1.0074812967581044,0.891592732563143,0.9552499060275601
2009-03-14,5.03,10.1,212.495,150000.0,181640.46837729737,70589.89623285254,85479.87876293436,74444.80655524001,1,0.8526535402268876,1.0074812967581048,0.8942341343706658,0.9571833296349713
2009-03-21,4.98,10.1,212.495,151000.0,181640.46837729737,71060.49554107155,85479.87876293436,76819.21877182365,1,0.8470772954761049,1.0074812967581048,0.9025983333713348,0.9590545931495765
2009-03-28,4.85,10.1,212.495,150000.0,181640.46837729737,70589.89623285254,85479.87876293436,76819.21877182365,1,0.828433465821371,1.0074812967581048,0.8991480361329868,0.9609331875192296
2009-04-04,4.78,10.6,212.709,155000.0,180345.1290563103,72869.50716706863,84784.907576224,79170.66400901614,1,0.8194105624052219,1.05634342660023,0.9304765831327803,0.9551349969559362
2009-04-11,4.87,10.6,212.709,147000.0,180345.1290563103,69108.50034554249,84784.907576224,74513.56612613285,1,0.837544648763064,1.0553321845682557,0.8857524717788469,0.9571579484546655
2009-04-18,4.82,10.6,212.709,149765.0,180345.1290563103,70408.39832823246,84784.907576224,76842.11506757449,1,0.8318619316296051,1.054121246892331,0.905341012789699,0.9590018397063026
2009-04-25,4.8,10.6,212.709,150000.0,180345.1290563103,70518.87790361479,84784.907576224,75398.41472388068,1,0.8313903137699021,1.0529130850047757,0.9092871342091516,0.9608528488997771
2009-05-02,4.78,10.6,212.709,159000.0,179035.39723729287,74750.0105778317,84169.1687880122,78704.95422072781,1,0.8309708478202729,1.0517076893722572,0.9660926021746248,0.955847976963808
2009-05-09,4.84,10.6,213.022,150000.0,179035.39723729287,70415.26227338023,84045.4963512186,75406.25217572931,1,0.8447621924613163,1.0505050505050504,0.9127040875822955,0.9564478647094254
2009-05-16,4.86,10.6,213.022,155000.0,179035.39723729287,72762.43768249289,84045.4963512186,75657.36034718837,1,0.8516833484986351,1.0493051589567863,0.9460213078305183,0.9581969165144039
2009-05-23,4.82,10.6,213.022,155000.0,179035.39723729287,72762.43768249289,84045.4963512186,75193.2047622363,1,0.8481895093062607,1.0481080053242062,0.9480490029333576,0.9599523770048757
2009-05-30,4.91,10.6,213.022,165000.0,179035.39723729287,77456.78850071825,84045.4963512186,75425.28255471234,0,0.8672554347826087,1.0469135802469136,1.0107794543448776,0.9617142814685028
2009-06-06,5.29,10.6,214.79,160000.0,177801.66912153238,74491.36365752596,82779.30495904482,74121.77280750113,0,0.9365700861393893,1.0457218744071333,0.9743187975110071,0.9492322426417529
2009-06-13,5.59,10.6,214.79,159900.0,177801.66912153238,74444.80655524001,82779.30495904482,71805.46740726671,0,0.9913375622399562,1.0445328785294672,0.9766536289558228,0.9512474762759134
2009-06-20,5.38,10.6,214.79,165000.0,177801.66912153238,76819.21877182365,82779.30495904482,73195.25064740736,0,0.9564117466069536,1.043346583380655,1.0093199447989238,0.9529144448736111
2009-06-27,5.42,10.6,214.79,165000.0,177801.66912153238,76819.21877182365,82779.30495904482,72845.95179305202,0,0.9664963478618702,1.0421629797693326,1.011016996310885,0.9545872661278939
2009-07-04,5.32,11.1,214.726,170000.0,176684.30477803326,79170.66400901614,82283.61017204868,73899.93025694082,0,0.9522563767168084,1.089056603773585,1.0438271106209762,0.9506443934673323
2009-07-11,5.2,11.1,214.726,160000.0,176684.30477803326,74513.56612613285,82283.61017204868,70435.87102614672,0,0.9347991426398397,1.086800979099981,0.9852929624599458,0.9524243720648717
2009-07-18,5.14,11.1,214.726,165000.0,176684.30477803326,76842.11506757449,82283.61017204868,72052.4320005173,0,0.9278944627668807,1.0843509299267329,1.0184131621567303,0.9539094727933717
2009-07-25,5.2,11.1,214.726,161900.0,176684.30477803326,75398.41472388068,82283.61017204868,71590.55743641143,0,0.9425543781372002,1.0819119025304593,1.0015947872142243,0.9553992121444218
2009-08-01,5.25,11.1,214.726,169000.0,175650.7300426873,78704.95422072781,81802.26430087055,73438.05569283494,0,0.9549795361527966,1.0794838227043202,1.0470606719747946,0.9513983540422917
2009-08-08,5.22,11.1,215.445,162459.0,175650.7300426873,75406.25217572931,81529.2673502227,73607.26221493873,0,0.9542290655979749,1.0770666169061391,1.0049425150623388,0.9498694433270864
2009-08-15,5.29,11.1,215.445,163000.0,175650.7300426873,75657.36034718837,81529.2673502227,71351.63003949658,0,0.9712247996328073,1.0746602122509774,1.0105711734286735,0.9513379689968674
2009-08-22,5.12,11.1,215.445,162000.0,175650.7300426873,75193.2047622363,81529.2673502227,73192.96242761263,0,0.9446829649079234,1.0722645365038082,1.005618676061676,0.9528392680918778
2009-08-29,5.14,11.1,215.445,162500.0,175650.7300426873,75425.28255471234,81529.2673502227,72464.76831978357,0,0.9530397575325368,1.0698795180722893,1.0105112745828884,0.9543453130532964
2009-09-05,5.08,11.1,215.861,160000.0,174701.08868125672,74121.77280750113,80932.21502784512,71774.62766911897,0,0.9466064645595929,1.0675050859996302,0.9947354181687214,0.948983979644539
2009-09-12,5.07,11.1,215.861,155000.0,174701.08868125672,71805.46740726671,80932.21502784512,73615.00273755792,1,0.9492672739711231,1.0651411699575568,0.9662690996246264,0.9506170764398244
2009-09-19,5.04,11.1,215.861,158000.0,174701.08868125672,73195.25064740736,80932.21502784512,70394.34636778975,0,0.9481224224006946,1.0627877002393666,0.9861419703634334,0.952052190666213
2009-09-26,5.04,11.1,215.861,157246.0,174701.08868125672,72845.95179305202,80932.21502784512,71314.53390200922,0,0.9511849889304251,1.0604446077530771,0.9826639478416072,0.9534916445301526
2009-10-03,4.94,10.7,216.509,160000.0,173925.2070544952,73899.93025694082,80331.62919531993,70578.60663576842,0,0.9351632749645056,1.0207301412584848,0.9978574240032757,0.9479782130518838
2009-10-10,4.87,10.7,216.509,152500.0,173925.2070544952,70435.87102614672,80331.62919531993,72187.89082616052,1,0.926024792481808,1.019234291994871,0.9528726130370412,0.9495456664877389
2009-10-17,4.92,10.7,216.509,156000.0,173925.2070544952,72052.4320005173,80331.62919531993,68969.3224453763,0,0.9395864703073927,1.0181152790484904,0.9763395964886086,0.9510974593514173
2009-10-24,5.0,10.7,216.509,155000.0,173925.2070544952,71590.55743641143,80331.62919531993,71268.29986022216,0,0.9581721024507093,1.0169987205264117,0.9715163758273033,0.9526543325455892
2009-10-31,5.03,10.7,216.509,159000.0,173925.2070544952,73438.05569283494,80331.62919531993,69035.02837339666,0,0.9690278601066983,1.015884608362242,0.9978650308185574,0.954216311059487
2009-11-07,4.98,10.7,217.234,159900.0,173487.23849959427,73607.26221493873,79861.91779352876,67884.44456717338,0,0.9631778620843562,1.014772934524895,1.0008000162432644,0.9502969388302028
2009-11-14,4.91,10.7,217.234,155000.0,173487.23849959427,71351.63003949658,79861.91779352876,69035.02837339666,0,0.9551457109722795,1.0136636910184003,0.9717906764425436,0.9517800613146107
2009-11-21,4.83,10.7,217.234,159000.0,173487.23849959427,73192.96242761263,79861.91779352876,71336.19598584321,0,0.9444235541851547,1.012556869881711,0.9973577661064879,0.9536097881205293
2009-12-05,4.71,10.7,217.347,157500.0,173290.9044025338,72464.76831978357,79730.06501241509,71312.56527400127,0,0.9259385278439378,1.0114524631885111,0.9883329031848105,0.9538980492704746
2009-12-12,4.81,10.7,217.347,156000.0,173290.9044025338,71774.62766911897,79730.06501241509,69932.32207514964,0,0.9500151929504711,1.0103504630470308,0.979765362712089,0.9557680322379459
2009-12-19,4.94,10.7,217.347,160000.0,173290.9044025338,73615.00273755792,79730.06501241509,76603.49753626589,1,0.9778826753968557,1.009250861599855,1.0054343293671804,0.9576188764278023
2009-12-26,5.05,10.7,217.347,153000.0,173290.9044025338,70394.34636778975,79730.06501241509,71312.56527400127,1,1.0012582453197088,1.008153651023736,0.9625453656727412,0.9594769028432394
2010-01-02,5.14,10.7,217.347,155000.0,173226.94293131,71314.53390200922,79700.63673816984,73596.04053301932,1,1.0192967737014722,1.0070588235294118,0.9762500118735148,0.9609938805957313
2010-01-09,5.09,10.6,217.488,153500.0,173226.94293131,70578.60663576842,79648.96588837546,69916.23850636836,0,1.009419930589985,0.9967450271247739,0.9674279007967058,0.9620245426829895
2010-01-16,5.06,10.6,217.488,157000.0,173226.94293131,72187.89082616052,79648.96588837546,71296.16426636247,0,1.003279188591474,0.9958446251129177,0.9891186784324152,0.9636839331454213
2010-01-23,4.99,10.6,217.488,150000.0,173226.94293131,68969.3224453763,79648.96588837546,70836.18901303111,1,0.9892866674291814,0.9949458483754513,0.9456917228135417,0.965349058044802
